station_name,stats,p_value,crit1,stationary
Große Rainstraße/Ottenser Hauptstraße,-25.54377600208275,0.0,-3.4305718333664075,True
Großneumarkt/Thielbek,-27.457884870786984,0.0,-3.430571825841386,True
Gründgensstraße/César-Klein-Ring,-25.98077708191735,0.0,-3.430571825841386,True
Gänsemarkt / Büschstraße,-28.4385176582225,0.0,-3.430571825841386,True
Habichtstraße/Steilshooper Straße,-27.088387268605302,0.0,-3.4305718183168747,True
Hallerstraße / Rohtenbaumchaussee,-28.15269614107915,0.0,-3.4305718333664075,True
Hammerbrook / Sachsenfeld,-25.761254340207817,0.0,-3.430571825841386,True
Harburger Rathausstraße/Deichhausweg,-26.575048809258043,0.0,-3.430571810792874,True
Harburger Ring/Neue Straße,-30.019023612601817,0.0,-3.430571810792874,True
Harvestehuder Weg / Alte Rabenstraße,-27.52314148703964,0.0,-3.4305718333664075,True
Hasselbrookstraße/Papenstraße,-26.71634456641589,0.0,-3.430571810792874,True
Hauptbahnhof Ost / Hachmannplatz,-22.250723195435416,0.0,-3.4305718183168747,True
Hauptbahnhof West / Glockengießer Wall,-20.09407258301028,0.0,-3.4305718183168747,True
Herbert-Wehner-Platz/Großer Schippsee,-25.24461284175439,0.0,-3.4305718183168747,True
Herthastraße / Einkaufszentrum Bramfeld,-24.597200766983896,0.0,-3.430571825841386,True
Heußweg/Wiesenstraße,-28.35105593971308,0.0,-3.4305718333664075,True
Hindenburgstraße/Möringbogen,-25.88790061109732,0.0,-3.4305718333664075,True
Hofweg/Am Langenzug,-27.49969505783983,0.0,-3.4305718333664075,True
Hohenzollernring/Friedensallee,-29.416183515422798,0.0,-3.430571825841386,True
Holsteinischer Kamp/ Wagnerstraße,-27.911200340560434,0.0,-3.430571810792874,True
Horner Rennbahn/ Meurer Weg,-22.425746049678118,0.0,-3.430571825841386,True
Horner Weg/Morahtstieg,-24.773194925006617,0.0,-3.4305718183168747,True
Hudtwalckerstraße / Bebelallee,-25.52029375097716,0.0,-3.4305718183168747,True
Hugo-Kirchberg-Straße/Tesa,-23.303832491555728,0.0,-3.4305718333664075,True
Innocentiapark/Oberstraße,-27.31885897709061,0.0,-3.430571825841386,True
Isestraße / Hoheluftbrücke,-27.77247186337239,0.0,-3.4305718333664075,True
Jacobikirche / Steinstraße,-27.176077534144255,0.0,-3.4305718183168747,True
Jarrestraße / Rambatzweg,-26.14526127125772,0.0,-3.4305718183168747,True
Jungfernstieg / Ballindamm,-23.533396382513455,0.0,-3.4305718183168747,True
Jungfernstieg / Neuer Jungfernstieg,-23.710215187788307,0.0,-3.4305718183168747,True
Kanalplatz/Harburger Schlossstraße,-27.719050635508484,0.0,-3.4305718183168747,True
Kellinghusenstraße / Loogeplatz,-28.053587075453535,0.0,-3.4305718183168747,True
Kleine Rosenstraße / Gerhart-Hauptmann-Platz,-26.166319019101273,0.0,-3.430571825841386,True
Koppelstraße/Lokstedter Grenzstraße,-24.89780888567726,0.0,-3.4305718333664075,True
Krausestraße/Eilbektal,-24.53219007956374,0.0,-3.4305718333664075,True
Kurt-Schumacher-Allee / Nagelsweg,-26.707006448039294,0.0,-3.430571825841386,True
Kurze Mühren/Spitalerstraße,-26.16175173985606,0.0,-3.430571825841386,True
Königstraße / Struenseestraße,-23.15875360282976,0.0,-3.4305718333664075,True
Kümmellstraße / Robert-Koch-Straße,-26.75790117441462,0.0,-3.4305718183168747,True
Landungsbrücke/Hafentor,-23.168715932271066,0.0,-3.4305718183168747,True
Landwehr / Ramazan-Avci-Platz,-28.350910512172682,0.0,-3.430571825841386,True
Lange Reihe / Kirchenallee,-27.461367666767014,0.0,-3.430571825841386,True
Lange Reihe / Lohmühlenpark,-29.174697804108472,0.0,-3.430571810792874,True
Langenfelder Damm/Müggenkampstraße,-29.17453922490045,0.0,-3.4305718333664075,True
Langenhorn Markt/Tangstedter Landstraße,-22.908527890049974,0.0,-3.430571825841386,True
Lappenbergsallee / Bei der Apostelkirche,-31.223991790191302,0.0,-3.430571825841386,True
Leinpfad/Fernsicht,-27.711163042003903,0.0,-3.4305718183168747,True
Lerchenfeld / Uferstraße,-26.714799275509368,0.0,-3.430571825841386,True
Lohbrügger Markt/Ludwig-Rosenberg-Ring,-24.77309325408137,0.0,-3.430571825841386,True
Lohmühlenstraße / Steindamm,-25.105247932921436,0.0,-3.430571825841386,True
Lortzingstraße/Friedrichsberger Straße,-26.063686010208187,0.0,-3.4305718333664075,True
Löwenstraße/Eppendorfer Weg,-29.069379502900848,0.0,-3.4305718333664075,True
Lübecker Straße / Marienkrankenhaus,-25.150704996977545,0.0,-3.430571825841386,True
Mannesallee/Veringstraße,-15.859163730304994,9.255274320656056e-29,-3.430571825841386,True
Manshardtstraße/EKZ Manshardtstraße,-16.76504909465604,1.30072719385309e-29,-3.4305718333664075,True
Maretstraße/Baererstraße,-24.562595048113014,0.0,-3.4305718183168747,True
Martinistraße / Haupteingang Klinikum,-29.87184323035886,0.0,-3.4305718333664075,True
Messehallen / Marktstraße,-33.288029613562365,0.0,-3.430571720544664,True
Methfesselstraße/Luruper Weg,-29.345187719091623,0.0,-3.430571825841386,True
Meßberg / Willy-Brandt-Straße,-28.30258801316263,0.0,-3.4305718333664075,True
Michaeliskirche / Krayenkamp,-26.947415205957707,0.0,-3.430571825841386,True
Millerntorplatz/St.Pauli,-27.395590063542166,0.0,-3.4305718333664075,True
Mittelweg/Sophienterrasse-NDR,-24.989349884452363,0.0,-3.4305718333664075,True
Moorstraße/Bahnhof Harburg,-26.420398284631506,0.0,-3.4305718183168747,True
Mundsburg / Schürbeker Straße,-27.6510842634983,0.0,-3.4305718333664075,True
Mönckebergstraße / Rosenstraße,-26.07923414676909,0.0,-3.430571825841386,True
Mönckebergstraße / Steintorwall,-29.550008966633946,0.0,-3.430571825841386,True
Neuer Pferdemarkt / Beim Grünen Jäger,-28.483131452406678,0.0,-3.4305718333664075,True
Neuländer Kamp/Eurofins ,-27.699790387448903,0.0,-3.4305718333664075,True
Neumühlen/Övelgönne,-24.929565776107403,0.0,-3.4305718333664075,True
Neunenfelder Straße/ Kurt-Emmerich-Platz,-27.202187463685508,0.0,-3.430571810792874,True
Niendorf Markt/Tibarg,-23.258680975095903,0.0,-3.430571825841386,True
Nordalbinger Weg/Paul-Sorge-Straße,-19.642551235231824,0.0,-3.4305718333664075,True
Nordschleswiger Straße/Dulsberg-Nord,-24.051518513281923,0.0,-3.430571825841386,True
OTTO Group / Wandsbeker Straße,-28.70171827145238,0.0,-3.430571825841386,True
Ohnhorststraße/Klein Flottbek,-23.09261456521053,0.0,-3.4305718333664075,True
Osakaallee/Übersee Quartier,-26.824251297715932,0.0,-3.4305718333664075,True
Osdorfer Landstraße/ Elbe-Einkaufszentrum,-25.589804104890092,0.0,-3.430571825841386,True
Osterbrookplatz/ Süderstraße,-17.83408720080317,3.1249244646286254e-30,-3.430571825841386,True
Osterstraße/Bismarckstraße,-27.095413825553788,0.0,-3.4305718333664075,True
Osterstraße/Heußweg,-27.9254225930229,0.0,-3.4305718333664075,True
Ottenser Marktplatz/Museumsstraße,-23.867922964163153,0.0,-3.430571825841386,True
Paul-Ehrlich-Straße/Asklepios Klinik Altona,-26.81244537350647,0.0,-3.4305718333664075,True
Paulinenplatz/Wohlwillstraße,-29.50926982686659,0.0,-3.4305718333664075,True
Planetarium/Hindenburgstraße,-29.843872356972945,0.0,-3.430571810792874,True
Rahlstedter Weg/Berner Heerweg,-23.30366424075589,0.0,-3.4305718183168747,True
Randstraße/ Stellingen,-38.707681727,0.0,-3.4305716679337808,True
Reeperbahn / Königstraße,-29.400575774858748,0.0,-3.4305718333664075,True
Reeseberg/EBV-Anzengruberstraße,-29.333394395291837,0.0,-3.430571810792874,True
Riedweg/Vierbergen,-23.279709642483095,0.0,-3.4305718333664075,True
Rothenburgsort/Marktplatz/Lindleystraße,-21.899651488155353,0.0,-3.4305718333664075,True
Rödingsmarkt / Großer Burstah,-26.338250933191773,0.0,-3.4305718333664075,True
Röntgenstraße/Philips,-30.6356649119237,0.0,-3.430571825841386,True
S Allermöhe/Walter-Rudolphi-Weg,-23.406690320010657,0.0,-3.430571825841386,True
S Nettelnburg/Friedrich-Frank-Bogen,-25.02688854052274,0.0,-3.430571810792874,True
Saarlandstraße/Wiesendamm,-26.867418921662626,0.0,-3.430571825841386,True
Schellerdamm/Hausnummer22,-25.805876516103506,0.0,-3.430571825841386,True
Schleidenstraße/Osterbekstraße,-29.34510374046116,0.0,-3.4305718183168747,True
Schloßstrasse/Schloßgarten,-26.182580549907595,0.0,-3.4305718333664075,True
Schopenstehl/Alter Fischmarkt,-30.266461697946184,0.0,-3.430571825841386,True
Schulterblatt/Eifflerstraße,-29.627385127090122,0.0,-3.4305718333664075,True
Sieldeich/ Gresham Carat Hotel,-18.286902537416438,2.3018341426155306e-30,-3.4305718333664075,True
Siemersplatz/Kollaustraße,-26.658896255876034,0.0,-3.430571825841386,True
Sievekingplatz/Gorch-Fock-Wall,-27.24223863975722,0.0,-3.4305718183168747,True
Sievekingsallee/Sievekingdamm,-29.010214182024452,0.0,-3.430571825841386,True
Sophienallee / Sandweg,-30.433739814167087,0.0,-3.4305718333664075,True
St.Petersburger Straße/Bei den Kirchhöfen,-25.410365227412502,0.0,-3.4305718333664075,True
Stadthausbrücke / Neuer Wall,-28.591031489638656,0.0,-3.4305718183168747,True
Steindamm / Stralsunder Straße,-28.14689838937289,0.0,-3.430571825841386,True
Steinstraße / Deichtorplatz,-27.357895382699457,0.0,-3.4305718183168747,True
Sternschanze / Eingang Dänenweg,-28.853308775880713,0.0,-3.4305718183168747,True
Süderfeldstraße/Universitätsklinikum Eppendorf,-30.987651149445455,0.0,-3.4305718333664075,True
Südring/Stadthallenbrücke,-31.323649916719095,0.0,-3.4305717957464044,True
TU Harburg/Denickestraße,-29.876717225430525,0.0,-3.430571825841386,True
Thadenstraße/Holstenstraße,-28.13896753904744,0.0,-3.430571825841386,True
Traberweg/Eckerkoppel,-25.089017915971244,0.0,-3.4305718333664075,True
Troplowitzstraße / Beiersdorf  / NXP,-31.034807865344497,0.0,-3.4305718333664075,True
U-Bahn Baumwall,-25.776402295051245,0.0,-3.4305718183168747,True
U-Bahn Schlump,-23.289068083870617,0.0,-3.430571825841386,True
Uferstraße/Wagnerstraße,-28.4152977127137,0.0,-3.4305718183168747,True
Uhlandstraße / Eingang Nord,-27.79919591259274,0.0,-3.430571825841386,True
Unilever/Strandkai,-28.40746899657848,0.0,-3.430571825841386,True
Universität / Moorweidenstraße,-28.48973104514097,0.0,-3.430571825841386,True
Universität / Schlüterstraße,-28.54219724702011,0.0,-3.4305718333664075,True
Versmannstraße/Am Hannoverschen Bahnhof,-28.130787656455478,0.0,-3.4305718183168747,True
Vierlandenstraße/Johann-Adolf-Hasse-Platz,-23.066013749258385,0.0,-3.4305718333664075,True
Wandsbeker Chaussee/ Börnestraße,-25.57417713834761,0.0,-3.4305718333664075,True
Wandsbeker Chaussee/Ritterstraße,-25.441026430019555,0.0,-3.4305718333664075,True
Wandsbeker Marktstraße/Wandsbeker Marktplatz,-25.56443674616959,0.0,-3.4305718183168747,True
Wartenau / Lübecker Straße,-27.969129911853553,0.0,-3.4305718183168747,True
Weidestraße /Johannes-Prassek-Park,-30.339668390318593,0.0,-3.430571825841386,True
Weidestraße/Biedermannplatz,-27.226762642249124,0.0,-3.4305718333664075,True
Wentorfer Straße/Bezirksamt Bergedorf,-25.922614254492412,0.0,-3.4305718333664075,True
Wiesendamm/Roggenkamp,-27.254828723379095,0.0,-3.4305718183168747,True
Wilhelmsburger Platz/Zur Schleuse,-23.204221732015565,0.0,-3.4305718183168747,True
Winterhuder Weg/ Zimmerstraße,-29.562968838079623,0.0,-3.4305718183168747,True
Zentralbibliothek / Münzstraße,-25.25972083124013,0.0,-3.4305718183168747,True
Überseering/Mexikoring,-28.169204341084168,0.0,-3.4305718333664075,True
