station_name,stats,p_value,crit1,stationary
Fuhlsbüttler Straße/Hellbrookstraße,-6.1717973302321365,6.777225755461601e-08,-3.4305718183168747,True
Georg-Wilhelm-Straße/Mankiewicz,-11.759386026356127,1.1577351132206e-21,-3.4305718183168747,True
Goebenstraße/Eppendorfer Weg,-10.798428228883974,2.047010252429007e-19,-3.4305718333664075,True
Goldbekplatz / Semperstraße,-10.280520274621987,3.790314588879965e-18,-3.430571825841386,True
Gotthelfweg/Außenmühlenteich,-10.91143505251488,1.0944113841988515e-19,-3.4305718183168747,True
Grandweg/Veilchenweg,-6.461672273612439,1.438114682543555e-08,-3.4305718183168747,True
Grasbrookpark/Überseequartier,-14.548063704915467,5.018952514550566e-27,-3.4305718333664075,True
Grindelberg / Bezirksamt Eimsbüttel,-11.127168068866437,3.351669068786138e-20,-3.4305718183168747,True
Große Bergstraße / Jessenstraße,-13.272944719221943,7.9696333590253e-25,-3.4305718183168747,True
Große Elbstraße/Van-der-Smissen-Straße,-9.765010859787356,7.389548520789798e-17,-3.4305718333664075,True
Große Rainstraße/Ottenser Hauptstraße,-5.807336023879909,4.484552926889835e-07,-3.4305718333664075,True
Großneumarkt/Thielbek,-12.517835991992698,2.5877686948572403e-23,-3.4305718183168747,True
Gründgensstraße/César-Klein-Ring,-7.384372691296136,8.311165445799044e-11,-3.4305718333664075,True
Gänsemarkt / Büschstraße,-16.810663116988646,1.1997879425799014e-29,-3.4305718333664075,True
Habichtstraße/Steilshooper Straße,-5.001475414479548,2.204442107171528e-05,-3.4305718333664075,True
Hallerstraße / Rohtenbaumchaussee,-11.449319219279179,5.9113010261855574e-21,-3.4305718333664075,True
Hammerbrook / Sachsenfeld,-21.166358136310503,0.0,-3.430571825841386,True
Harburger Rathausstraße/Deichhausweg,-8.225735430232731,6.253881351495626e-13,-3.4305718333664075,True
Harburger Ring/Neue Straße,-8.13178862972021,1.0853171149777408e-12,-3.430571825841386,True
Harvestehuder Weg / Alte Rabenstraße,-11.121961069822532,3.4481097551074704e-20,-3.4305718333664075,True
Hasselbrookstraße/Papenstraße,-10.732881954359266,2.948940531237003e-19,-3.4305718183168747,True
Hauptbahnhof Ost / Hachmannplatz,-10.879522110550457,1.3055445761666334e-19,-3.430571825841386,True
Hauptbahnhof West / Glockengießer Wall,-11.497590624089336,4.573990092736008e-21,-3.430571825841386,True
Herbert-Wehner-Platz/Großer Schippsee,-7.9568517320409216,3.021177067614804e-12,-3.430571825841386,True
Herthastraße / Einkaufszentrum Bramfeld,-10.138211174873554,8.557162244697013e-18,-3.4305718333664075,True
Heußweg/Wiesenstraße,-10.610768383740247,5.842067918577646e-19,-3.4305718333664075,True
Hindenburgstraße/Möringbogen,-6.678597945345524,4.4003723815358325e-09,-3.4305718333664075,True
Hofweg/Am Langenzug,-9.935511077821928,2.7504772766956343e-17,-3.4305718333664075,True
Hohenzollernring/Friedensallee,-6.6562925010287115,4.9745698296648855e-09,-3.4305718333664075,True
Holsteinischer Kamp/ Wagnerstraße,-12.093504357234675,2.096143802163526e-22,-3.4305718333664075,True
Horner Rennbahn/ Meurer Weg,-6.868853269822918,1.5340160033943013e-09,-3.430571825841386,True
Horner Weg/Morahtstieg,-6.381113702671229,2.2211535901987808e-08,-3.4305718333664075,True
Hudtwalckerstraße / Bebelallee,-9.881779653356414,3.753379663879352e-17,-3.430571810792874,True
Hugo-Kirchberg-Straße/Tesa,-14.64081767577552,3.626408613654316e-27,-3.4305718333664075,True
Innocentiapark/Oberstraße,-13.016581484062808,2.503721779397831e-24,-3.430571825841386,True
