station_name,stats,p_value,crit1,stationary
Große Rainstraße/Ottenser Hauptstraße,-25.42688781648404,0.0,-3.4305718333664075,True
Großneumarkt/Thielbek,-27.619848110273633,0.0,-3.430571825841386,True
Gründgensstraße/César-Klein-Ring,-25.862122483729816,0.0,-3.430571825841386,True
Gänsemarkt / Büschstraße,-28.388877222417513,0.0,-3.430571825841386,True
Habichtstraße/Steilshooper Straße,-27.099283177302638,0.0,-3.4305718183168747,True
Hallerstraße / Rohtenbaumchaussee,-27.81436143768047,0.0,-3.4305718333664075,True
Hammerbrook / Sachsenfeld,-25.859940435994318,0.0,-3.430571825841386,True
Harburger Rathausstraße/Deichhausweg,-26.624377473983998,0.0,-3.430571810792874,True
Harburger Ring/Neue Straße,-30.094696453545936,0.0,-3.430571810792874,True
Harvestehuder Weg / Alte Rabenstraße,-27.418343399695814,0.0,-3.4305718333664075,True
Hasselbrookstraße/Papenstraße,-26.68208759955393,0.0,-3.430571810792874,True
Hauptbahnhof Ost / Hachmannplatz,-22.02719008465984,0.0,-3.4305718183168747,True
Hauptbahnhof West / Glockengießer Wall,-20.02500550940421,0.0,-3.4305718183168747,True
Herbert-Wehner-Platz/Großer Schippsee,-25.21928127214759,0.0,-3.4305718183168747,True
Herthastraße / Einkaufszentrum Bramfeld,-24.544311533768372,0.0,-3.430571810792874,True
Heußweg/Wiesenstraße,-28.20737939926166,0.0,-3.4305718333664075,True
Hindenburgstraße/Möringbogen,-25.87525883055458,0.0,-3.4305718333664075,True
Hofweg/Am Langenzug,-27.433768116458953,0.0,-3.4305718333664075,True
Hohenzollernring/Friedensallee,-29.58422072062913,0.0,-3.430571825841386,True
Holsteinischer Kamp/ Wagnerstraße,-27.764264361534174,0.0,-3.430571810792874,True
Horner Rennbahn/ Meurer Weg,-22.492605088027023,0.0,-3.430571825841386,True
Horner Weg/Morahtstieg,-24.60669922643067,0.0,-3.4305718183168747,True
Hudtwalckerstraße / Bebelallee,-25.544519127314064,0.0,-3.4305718183168747,True
Hugo-Kirchberg-Straße/Tesa,-23.167921479075776,0.0,-3.4305718333664075,True
Innocentiapark/Oberstraße,-27.413738035761813,0.0,-3.430571825841386,True
Isestraße / Hoheluftbrücke,-27.469205459241838,0.0,-3.4305718333664075,True
Jacobikirche / Steinstraße,-27.108384290847564,0.0,-3.4305718183168747,True
Jarrestraße / Rambatzweg,-26.105821114060372,0.0,-3.4305718183168747,True
Jungfernstieg / Ballindamm,-23.631578007046315,0.0,-3.4305718183168747,True
Jungfernstieg / Neuer Jungfernstieg,-23.678968435614248,0.0,-3.4305718183168747,True
Kanalplatz/Harburger Schlossstraße,-27.746776408616025,0.0,-3.4305718183168747,True
Kellinghusenstraße / Loogeplatz,-28.050606542704195,0.0,-3.4305718183168747,True
Kleine Rosenstraße / Gerhart-Hauptmann-Platz,-26.07285813679242,0.0,-3.430571825841386,True
Koppelstraße/Lokstedter Grenzstraße,-24.765967947027693,0.0,-3.4305718333664075,True
